iter	Passed	Remaining
0	0	85
1	1	77
2	2	72
3	2	69
4	3	69
5	4	68
6	5	66
7	5	64
8	6	63
9	7	63
10	7	62
11	8	62
12	9	61
13	9	60
14	10	60
15	11	59
16	11	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	55
22	16	56
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	21	51
29	22	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	43
40	29	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	40	32
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	54	18
74	54	18
75	55	17
76	56	16
77	56	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	71	1
98	72	0
99	73	0
