iter	Passed	Remaining
0	3	3208
1	5	2841
2	8	2898
3	11	2848
4	14	2865
5	17	2873
6	20	2944
7	23	2906
8	26	2864
9	28	2815
10	30	2751
11	32	2676
12	34	2639
13	37	2619
14	39	2609
15	41	2581
16	44	2561
17	46	2550
18	49	2556
19	51	2528
20	53	2515
21	56	2492
22	58	2469
23	60	2440
24	61	2415
25	64	2412
26	66	2409
27	68	2390
28	72	2423
29	74	2403
30	76	2386
31	78	2371
32	80	2347
33	83	2358
34	85	2357
35	87	2341
36	90	2345
37	91	2328
38	94	2322
39	96	2321
40	98	2314
41	103	2350
42	106	2359
43	108	2360
44	111	2357
45	114	2364
46	116	2354
47	119	2363
48	121	2355
49	123	2347
50	127	2365
51	129	2363
52	133	2377
53	135	2371
54	138	2371
55	140	2365
56	142	2355
57	144	2352
58	147	2349
59	149	2349
60	152	2343
61	154	2332
62	156	2330
63	159	2337
64	161	2327
65	163	2318
66	165	2308
67	167	2294
68	169	2289
69	172	2286
70	173	2276
71	176	2278
72	178	2270
73	181	2265
74	183	2264
75	185	2260
76	188	2257
77	190	2251
78	192	2242
79	194	2240
80	196	2234
81	198	2219
82	200	2217
83	203	2224
84	205	2214
85	207	2208
86	210	2207
87	212	2202
88	214	2200
89	216	2194
90	218	2184
91	220	2179
92	222	2170
93	225	2170
94	228	2176
95	231	2176
96	233	2172
97	235	2165
98	237	2161
99	239	2155
100	241	2147
101	242	2138
102	245	2137
103	247	2136
104	249	2129
105	251	2123
106	254	2120
107	255	2112
108	257	2106
109	259	2099
110	260	2088
111	262	2084
112	264	2078
113	266	2073
114	268	2067
115	270	2062
116	272	2057
117	274	2052
118	276	2046
119	278	2042
120	280	2036
121	282	2035
122	284	2031
123	286	2024
124	288	2018
125	290	2014
126	292	2007
127	293	2001
128	295	1997
129	297	1994
130	299	1988
131	301	1985
132	303	1980
133	305	1973
134	307	1968
135	309	1963
136	310	1958
137	312	1953
138	314	1948
139	316	1942
140	317	1936
141	319	1931
142	321	1926
143	323	1922
144	325	1917
145	327	1914
146	329	1911
147	331	1905
148	333	1903
149	335	1899
150	336	1894
151	338	1889
152	341	1887
153	342	1882
154	344	1878
155	346	1873
156	347	1868
157	349	1863
158	351	1859
159	353	1856
160	354	1847
161	356	1843
162	358	1840
163	360	1837
164	362	1832
165	364	1829
166	366	1826
167	368	1823
168	370	1821
169	372	1818
170	374	1813
171	375	1809
172	377	1804
173	380	1805
174	383	1809
175	386	1807
176	388	1804
177	390	1803
178	392	1800
179	394	1796
180	396	1796
181	398	1792
182	401	1792
183	404	1791
184	406	1788
185	408	1788
186	409	1781
187	411	1778
188	413	1775
189	415	1772
190	417	1769
191	419	1765
192	421	1762
193	423	1758
194	425	1754
195	426	1751
196	428	1748
197	430	1744
198	432	1742
199	434	1739
200	436	1734
201	438	1730
202	439	1727
203	442	1724
204	443	1721
205	446	1719
206	448	1716
207	449	1712
208	451	1709
209	454	1707
210	456	1705
211	458	1704
212	460	1701
213	462	1697
214	464	1694
215	466	1692
216	468	1689
217	470	1689
218	473	1687
219	474	1682
220	476	1680
221	479	1679
222	480	1675
223	482	1670
224	484	1667
225	485	1664
226	487	1660
227	490	1659
228	491	1656
229	493	1652
230	495	1649
231	497	1646
232	499	1642
233	501	1640
234	503	1638
235	504	1634
236	506	1630
237	508	1627
238	510	1624
239	511	1621
240	513	1617
241	515	1614
242	517	1611
243	519	1608
244	521	1606
245	523	1604
246	525	1600
247	527	1598
248	528	1595
249	530	1592
250	533	1591
251	535	1589
252	537	1585
253	539	1583
254	542	1584
255	543	1580
256	545	1578
257	548	1576
258	549	1573
259	552	1571
260	555	1571
261	556	1567
262	559	1567
263	561	1565
264	563	1562
265	565	1560
266	567	1557
267	569	1554
268	570	1551
269	573	1549
270	574	1546
271	576	1543
272	578	1540
273	580	1537
274	582	1534
275	583	1530
276	585	1528
277	587	1526
278	589	1522
279	591	1519
280	592	1517
281	594	1513
282	596	1510
283	598	1508
284	599	1504
285	601	1501
286	603	1499
287	605	1496
288	607	1493
289	608	1490
290	610	1487
291	612	1485
292	614	1482
293	616	1479
294	618	1477
295	619	1474
296	621	1471
297	623	1468
298	625	1466
299	627	1463
300	628	1459
301	630	1456
302	631	1453
303	633	1449
304	638	1455
305	642	1457
306	644	1455
307	646	1451
308	648	1449
309	649	1446
310	651	1442
311	652	1439
312	654	1436
313	656	1433
314	657	1430
315	659	1427
316	661	1425
317	662	1421
318	664	1418
319	666	1415
320	668	1413
321	669	1410
322	671	1407
323	673	1404
324	675	1401
325	676	1398
326	678	1396
327	679	1392
328	681	1390
329	684	1390
330	687	1390
331	690	1389
332	692	1387
333	695	1386
334	697	1384
335	699	1382
336	702	1381
337	704	1380
338	707	1378
339	709	1377
340	711	1374
341	713	1372
342	715	1369
343	716	1366
344	718	1363
345	720	1361
346	721	1358
347	723	1355
348	724	1352
349	726	1349
350	728	1346
351	729	1343
352	731	1340
353	733	1338
354	734	1335
355	736	1332
356	748	1347
357	750	1345
358	752	1343
359	754	1341
360	756	1339
361	758	1337
362	760	1334
363	762	1332
364	764	1330
365	766	1327
366	768	1325
367	770	1323
368	772	1321
369	774	1319
370	778	1319
371	780	1316
372	781	1314
373	784	1313
374	786	1311
375	789	1310
376	791	1308
377	793	1306
378	796	1304
379	798	1302
380	800	1300
381	802	1298
382	804	1296
383	806	1293
384	808	1292
385	810	1289
386	812	1287
387	815	1286
388	817	1283
389	820	1282
390	821	1280
391	823	1277
392	825	1274
393	827	1272
394	828	1269
395	830	1266
396	832	1264
397	834	1261
398	835	1259
399	837	1256
400	839	1253
401	841	1251
402	843	1249
403	848	1252
404	851	1250
405	854	1249
406	855	1247
407	858	1245
408	859	1242
409	861	1239
410	862	1235
411	864	1233
